Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_M	0	10	1	1.00E+03	1
WHO_A	0	26	1	2.60E+03	1
F89	0	9	1	9.00E+02	1
WHO_F	0	23	1	2.30E+03	1
WHO_G	0	7	1	7.00E+02	1
ATCC49226	0	2	1	2.00E+02	1
WHO_L	0	6	1	6.00E+02	1
AZ-HLR	0	5	1	5.00E+02	1
WHO_O	0	16	1	1.60E+03	1
WHO_P	0	4	1	4.00E+02	1
WHO_N	0	3	1	3.00E+02	1
WHO_K	0	19	1	1.90E+03	1
WHO_M	2	9	1	9.00E+02	1
WHO_A	2	22	1	2.20E+03	1
F89	2	10	1	1.00E+03	1
WHO_F	2	20	1	2.00E+03	1
WHO_G	2	8	1	8.00E+02	1
ATCC49226	2	2	1	2.00E+02	1
WHO_L	2	6	1	6.00E+02	1
AZ-HLR	2	3	1	3.00E+02	1
WHO_O	2	15	1	1.50E+03	1
WHO_P	2	8	1	8.00E+02	1
WHO_N	2	5	1	5.00E+02	1
WHO_K	2	15	1	1.50E+03	1
WHO_M	4	21	1	2.10E+03	1
WHO_A	4	8	10	8.00E+03	1
F89	4	22	1	2.20E+03	1
WHO_F	4	14	10	1.40E+04	1
WHO_G	4	8	10	8.00E+03	1
ATCC49226	4	1	1	1.00E+02	1
WHO_L	4	7	1	7.00E+02	1
AZ-HLR	4	8	1	8.00E+02	1
WHO_O	4	30	1	3.00E+03	1
WHO_P	4	9	1	9.00E+02	1
WHO_N	4	5	1	5.00E+02	1
WHO_K	4	6	1	6.00E+02	1
WHO_M	6	16	10	1.60E+04	1
WHO_A	6	28	10	2.80E+04	1
F89	6	16	10	1.60E+04	1
WHO_F	6	31	10	3.10E+04	1
WHO_G	6	11	10	1.10E+04	1
ATCC49226	6	22	1	2.20E+03	1
WHO_L	6	2	1	2.00E+02	1
AZ-HLR	6	7	10	7.00E+03	1
WHO_O	6	5	10	5.00E+03	1
WHO_P	6	22	1	2.20E+03	1
WHO_N	6	22	1	2.20E+03	1
WHO_K	6	13	10	1.30E+04	1
WHO_M	8	18	100	1.80E+05	1
WHO_A	8	15	100	1.50E+05	1
F89	8	4	100	4.00E+04	1
WHO_F	8	25	100	2.50E+05	1
WHO_G	8	8	100	8.00E+04	1
ATCC49226	8	12	10	1.20E+04	1
WHO_L	8	13	1	1.30E+03	1
AZ-HLR	8	17	10	1.70E+04	1
WHO_O	8	25	10	2.50E+04	1
WHO_P	8	21	10	2.10E+04	1
WHO_N	8	22	10	2.20E+04	1
WHO_K	8	8	100	8.00E+04	1
WHO_M	10	11	1000	1.10E+06	1
WHO_A	10	21	1000	2.10E+06	1
F89	10	29	100	2.90E+05	1
WHO_F	10	9	10000	9.00E+06	1
WHO_G	10	9	1000	9.00E+05	1
ATCC49226	10	9	100	9.00E+04	1
WHO_L	10	16	10	1.60E+04	1
AZ-HLR	10	12	100	1.20E+05	1
WHO_O	10	30	100	3.00E+05	1
WHO_P	10	21	100	2.10E+05	1
WHO_N	10	15	100	1.50E+05	1
WHO_K	10	12	1000	1.20E+06	1
WHO_M	12	11	10000	1.10E+07	1
WHO_A	12	3	100000	3.00E+07	1
F89	12	17	1000	1.70E+06	1
WHO_F	12	21	10000	2.10E+07	1
WHO_G	12	7	10000	7.00E+06	1
ATCC49226	12	7	1000	7.00E+05	1
WHO_L	12	8	100	8.00E+04	1
AZ-HLR	12	11	1000	1.10E+06	1
WHO_O	12	30	1000	3.00E+06	1
WHO_P	12	26	1000	2.60E+06	1
WHO_N	12	12	1000	1.20E+06	1
WHO_K	12	31	10000	3.10E+07	1
WHO_M	20	36	100000	3.60E+08	1
WHO_A	20	14	100000	1.40E+08	1
F89	20	12	100000	1.20E+08	1
WHO_F	20	12	100000	1.20E+08	1
WHO_G	20	24	100000	2.40E+08	1
ATCC49226	20	18	100000	1.80E+08	1
WHO_L	20	6	100000	6.00E+07	1
AZ-HLR	20	10	100000	1.00E+08	1
WHO_O	20	9	100000	9.00E+07	1
WHO_P	20	10	10000	1.00E+07	1
WHO_N	20	18	100000	1.80E+08	1
WHO_K	20	12	100000	1.20E+08	1
WHO_M	22	45	100000	4.50E+08	1
WHO_A	22	13	100000	1.30E+08	1
F89	22	42	100000	4.20E+08	1
WHO_F	22	33	100000	3.30E+08	1
WHO_G	22	50	100000	5.00E+08	1
ATCC49226	22	27	100000	2.70E+08	1
WHO_L	22	8	100000	8.00E+07	1
AZ-HLR	22	14	100000	1.40E+08	1
WHO_O	22	22	100000	2.20E+08	1
